product_id;product_name;category;brand;base_price;status
PP001;Куртка пуховая;Одежда;Adidas;4313;Обычный
PP002;Набор инструментов;Дом и сад;IKEA;7290;Обычный
PP003;iPad Air;Электроника;Sony;77788;Обычный
PP004;Рубашка хлопок;Одежда;Uniqlo;11676;Обычный
PP005;Гантели наборные;Спорт;Wilson;28060;Новинка
PP006;Роман фантастика;Книги;Питер;2010;Обычный
PP007;Роман фантастика;Книги;МИФ;786;Обычный
PP008;Джинсы классик;Одежда;Uniqlo;4006;Новинка
PP009;Apple Watch;Электроника;Huawei;39883;Обычный
PP010;Роман фантастика;Книги;Питер;1456;Обычный
PP011;Джинсы классик;Одежда;Zara;9586;Новинка
PP012;Светильник LED;Дом и сад;Philips;11981;Обычный
PP013;MacBook Pro;Электроника;Sony;36418;Новинка
PP014;MacBook Pro;Электроника;Apple;67974;Обычный
PP015;Крем антивозрастной;Красота;L'Oreal;6882;Обычный
PP016;Apple Watch;Электроника;Xiaomi;21565;Новинка
PP017;Помада матовая;Красота;Chanel;4207;Обычный
PP018;iPhone 15 Pro;Электроника;Sony;39435;Обычный
PP019;Платье вечернее;Одежда;Zara;1589;Обычный
PP020;Велосипед горный;Спорт;Reebok;16144;Обычный
PP021;Samsung S24;Электроника;Apple;27608;Обычный
PP022;Растение в горшке;Дом и сад;Bosch;17818;Обычный
PP023;Samsung S24;Электроника;Apple;37796;Обычный
PP024;Помада матовая;Красота;Nivea;2522;Акция
PP025;iPhone 15 Pro;Электроника;Samsung;57600;Новинка
PP026;Кроссовки спорт;Одежда;H&M;14499;Обычный
PP027;Куртка пуховая;Одежда;Zara;4553;Обычный
PP028;Помада матовая;Красота;Chanel;6992;Обычный
PP029;Кофемашина;Дом и сад;Bosch;20917;Обычный
PP030;Велосипед горный;Спорт;Nike;13706;Обычный
PP031;iPad Air;Электроника;Samsung;43629;Обычный
PP032;Крем антивозрастной;Красота;Chanel;5028;Акция
PP033;Мяч футбольный;Спорт;Wilson;7427;Обычный
PP034;Куртка пуховая;Одежда;H&M;13136;Обычный
PP035;Гантели наборные;Спорт;Wilson;10251;Обычный
PP036;Велосипед горный;Спорт;Decathlon;1815;Акция
PP037;Samsung S24;Электроника;Apple;76341;Обычный
PP038;AirPods Pro;Электроника;Sony;23150;Обычный
PP039;Мяч футбольный;Спорт;Adidas;4443;Обычный
PP040;Samsung S24;Электроника;Sony;64826;Обычный
PP041;Помада матовая;Красота;Garnier;3055;Обычный
PP042;Кофемашина;Дом и сад;Electrolux;11260;Обычный
PP043;Учебник Python;Книги;АСТ;1960;Акция
PP044;Маска для лица;Красота;Nivea;6643;Обычный
PP045;Велосипед горный;Спорт;Wilson;21387;Акция
PP046;MacBook Pro;Электроника;Huawei;19862;Обычный
PP047;Велосипед горный;Спорт;Adidas;25511;Обычный
PP048;Детектив классика;Книги;Питер;1215;Новинка
PP049;Пылесос робот;Дом и сад;Philips;15314;Обычный
PP050;Роман фантастика;Книги;Питер;489;Новинка
PP051;Светильник LED;Дом и сад;Philips;3537;Обычный
PP052;Платье вечернее;Одежда;Zara;9529;Обычный
PP053;Биография;Книги;Альпина;1379;Новинка
PP054;Samsung S24;Электроника;Samsung;31401;Обычный
PP055;Мяч футбольный;Спорт;Adidas;14505;Акция
PP056;Набор инструментов;Дом и сад;IKEA;15608;Обычный
PP057;Набор инструментов;Дом и сад;Xiaomi;23249;Акция
PP058;Маска для лица;Красота;L'Oreal;3412;Обычный
PP059;Крем антивозрастной;Красота;L'Oreal;804;Новинка
PP060;Крем антивозрастной;Красота;Chanel;6584;Обычный
PP061;Пылесос робот;Дом и сад;Xiaomi;11913;Обычный
PP062;iPad Air;Электроника;Huawei;42813;Обычный
PP063;Рубашка хлопок;Одежда;Nike;3027;Обычный
PP064;Куртка пуховая;Одежда;Uniqlo;7751;Обычный
PP065;Коврик йога;Спорт;Adidas;3461;Обычный
PP066;Духи женские;Красота;Nivea;4214;Обычный
PP067;Мяч футбольный;Спорт;Reebok;7448;Обычный
PP068;Учебник Python;Книги;Эксмо;2297;Обычный
PP069;iPad Air;Электроника;Sony;77380;Обычный
PP070;Коврик йога;Спорт;Wilson;13861;Акция
PP071;MacBook Pro;Электроника;Xiaomi;50563;Обычный
PP072;Крем антивозрастной;Красота;Maybelline;3200;Обычный
PP073;Коврик йога;Спорт;Adidas;20110;Обычный
PP074;Роман фантастика;Книги;Питер;2248;Новинка
PP075;Куртка пуховая;Одежда;Nike;5065;Обычный
PP076;Растение в горшке;Дом и сад;Bosch;10554;Обычный
PP077;Кофемашина;Дом и сад;IKEA;22418;Новинка
PP078;Набор инструментов;Дом и сад;IKEA;24368;Акция
PP079;Кроссовки спорт;Одежда;H&M;14851;Обычный
PP080;Платье вечернее;Одежда;Uniqlo;7921;Обычный
