Date;Revenue;Gross_Margin;Net_Margin;New_Customers;Customer_Retention_Rate;Employee_Count;Employee_Satisfaction;Current_Ratio;Debt_to_Equity;Market_Share;Competitor_Price_Index
2021-01-01;2961689,11;0,35;0,13;145;0,77;150;4,32;2,07;0,38;0,09;102,80
2021-02-01;3260562,12;0,35;0,15;91;0,88;150;4,07;1,92;0,47;0,09;102,04
2021-03-01;3769010,70;0,39;0,10;162;0,81;150;4,11;1,89;0,39;0,08;96,78
2021-04-01;4189444,85;0,37;0,15;183;0,83;151;4,64;1,79;0,45;0,08;103,98
2021-05-01;3885271,53;0,32;0,12;175;0,76;151;3,91;1,67;0,49;0,08;99,08
2021-06-01;4260110,30;0,39;0,14;123;0,78;152;3,96;1,55;0,43;0,09;104,90
2021-07-01;3901275,40;0,32;0,09;142;0,88;152;4,09;1,89;0,35;0,08;97,55
2021-08-01;3708523,96;0,31;0,11;116;0,89;152;4,08;1,99;0,46;0,09;101,55
2021-09-01;4017832,79;0,31;0,10;93;0,87;153;3,93;1,65;0,33;0,09;102,53
2021-10-01;4293134,39;0,31;0,11;97;0,85;153;4,62;1,63;0,47;0,09;102,69
2021-11-01;4731533,93;0,39;0,14;160;0,92;154;3,83;1,89;0,40;0,08;95,65
2021-12-01;5304082,37;0,33;0,14;98;0,95;154;4,51;1,62;0,36;0,09;95,62
2022-01-01;2966898,08;0,38;0,09;183;0,76;154;4,13;1,80;0,42;0,09;96,35
2022-02-01;3103386,70;0,31;0,15;129;0,84;155;4,02;2,01;0,43;0,08;100,94
2022-03-01;4312835,35;0,37;0,14;191;0,77;155;3,87;1,74;0,49;0,09;98,16
2022-04-01;3695804,63;0,32;0,10;107;0,75;156;4,51;2,01;0,38;0,08;96,09
2022-05-01;3755715,89;0,31;0,09;147;0,77;156;4,43;2,05;0,46;0,09;100,47
2022-06-01;4014186,89;0,38;0,15;153;0,78;156;3,77;1,74;0,41;0,08;101,37
2022-07-01;3682279,05;0,31;0,14;162;0,94;157;4,43;2,00;0,39;0,08;101,45
2022-08-01;3832978,72;0,32;0,14;139;0,78;157;4,69;1,95;0,48;0,08;100,06
2022-09-01;4388112,85;0,36;0,09;201;0,80;158;3,73;1,90;0,46;0,08;97,17
2022-10-01;4516354,27;0,36;0,10;125;0,83;158;4,14;1,74;0,32;0,09;103,95
2022-11-01;5789450,73;0,38;0,12;189;0,79;158;4,16;1,73;0,40;0,08;97,27
2022-12-01;5837495,07;0,35;0,14;164;0,80;159;4,39;1,70;0,35;0,09;97,99
2023-01-01;3287342,70;0,36;0,13;168;0,80;159;4,35;2,08;0,30;0,08;98,88
2023-02-01;3424719,09;0,35;0,13;128;0,87;160;4,28;1,71;0,34;0,08;95,12
2023-03-01;3970865,72;0,33;0,14;140;0,75;160;4,68;1,68;0,47;0,09;95,74
2023-04-01;3851922,18;0,38;0,13;179;0,77;160;4,52;1,89;0,40;0,09;97,79
2023-05-01;4438673,57;0,39;0,13;175;0,85;161;4,17;1,98;0,36;0,09;103,02
2023-06-01;4179119,22;0,36;0,11;146;0,86;161;4,45;1,79;0,49;0,08;100,53
2023-07-01;4204493,03;0,36;0,12;102;0,88;162;4,07;1,89;0,40;0,08;98,46
2023-08-01;4579812,35;0,38;0,14;128;0,76;162;4,47;1,80;0,38;0,08;99,83
2023-09-01;4571156,17;0,39;0,14;169;0,94;162;4,31;1,71;0,46;0,09;95,59
2023-10-01;4206780,34;0,36;0,14;120;0,80;163;4,61;1,71;0,35;0,08;97,80
2023-11-01;5931604,23;0,36;0,12;157;0,83;163;3,83;1,73;0,32;0,09;103,72
2023-12-01;5274950,84;0,37;0,10;211;0,78;164;4,49;1,83;0,49;0,09;101,53
2024-01-01;3450385,02;0,33;0,10;67;0,75;164;4,41;1,70;0,47;0,08;104,34
2024-02-01;3678882,68;0,34;0,12;100;0,82;164;4,14;1,53;0,35;0,09;100,69
2024-03-01;4000170,40;0,40;0,11;72;0,83;165;4,19;1,87;0,32;0,09;98,60
