статус;тип_файла;имя_файла;соответствие_теории;сложность
ИСПРАВЛЕНО;Практика недели 1 (исправленная);week-01-practice-fixed.md;ПОЛНОЕ - только базовые операции Excel;НАЧАЛЬНАЯ - строго по теории
ИСПРАВЛЕНО;Простые данные: кофе;simple_coffee_sales.csv;ПОЛНОЕ - простые числа для формул;НАЧАЛЬНАЯ
ИСПРАВЛЕНО;Простые данные: товары;simple_products_catalog.csv;ПОЛНОЕ - базовая структура таблицы;НАЧАЛЬНАЯ
ИСПРАВЛЕНО;Простые данные: бюджет;simple_family_budget.csv;ПОЛНОЕ - простая группировка данных;НАЧАЛЬНАЯ
ИСПРАВЛЕНО;Простые данные: киоск;kiosk_sales_data.csv;ПОЛНОЕ - расчеты через умножение;НАЧАЛЬНАЯ
ИСПРАВЛЕНО;Простые данные: парикмахерская;barbershop_data.csv;ПОЛНОЕ - сортировка и фильтрация;НАЧАЛЬНАЯ
ИСПРАВЛЕНО;Простые данные: склад (остатки);initial_stock.csv;ПОЛНОЕ - базовые расчеты остатков;НАЧАЛЬНАЯ
ИСПРАВЛЕНО;Простые данные: склад (операции);warehouse_operations.csv;ПОЛНОЕ - простые операции склада;НАЧАЛЬНАЯ
ИСПРАВЛЕНО;Простые данные: студенты;students_list.csv;ПОЛНОЕ - текстовые данные;НАЧАЛЬНАЯ
ИСПРАВЛЕНО;Простые данные: оценки;student_grades.csv;ПОЛНОЕ - числовые данные и средние;НАЧАЛЬНАЯ
